,city_id_year,PositionCity,city_id,year,mayorid,regionid,naive_counter,dumamargin,cancel,margin,naive_counter2,naive_counter3,dem,growth_1,pressfreedom,regelect_margin,regmarginXmargin,URshare,UR_majority,gov_good,twoyrdum1,twoyrdum2,twoyrdum3,twoyrdum4,twoyrdum5,twoyrdum6,twoyrdum7,poppopprop,criminalpast,civsoc91,kprf99,education,pctRussian2002_new,lnAvgSalary,marginXdem,govgoodXmargin,opp_mayor1,cancel.oppmayor,introduce,mayorbefore,cancel_withouttwo,resource_grp,unempchg_1,unemployrate,diff_unemp,AvgSalary_demeaned_chg,marginXoppmayor,marginXmayorbefore,marginXduma,cancel.year,lagged.urvoteshare.pres,lagged.turnout.coef.pres,lagged.nonstandard.coef.pres,lagged.urvoteshare.parl,lagged.turnout.coef.parl,lagged.nonstandard.coef.parl
1,1_1999,Abakan,1,1999,1,67,4,NA,0,NA,16,64,26,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0.298664987,0,2,NA,NA,0.802815378,7.443663597,NA,NA,NA,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1_2000,Abakan,1,2000,1,67,5,NA,0,0.634000003,25,125,26,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0.302009374,0,2,25,15.10000038,0.802815378,7.859026909,16.48399925,NA,NA,0,NA,1,0,NA,NA,NA,NA,101.5369873,NA,0.634000003,NA,NA,NA,NA,NA,NA,NA,NA
3,1_2001,Abakan,1,2001,1,67,6,NA,0,0.634000003,36,216,20,107.8000031,somewhat not free,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,0.303287238,0,2,25,22.79999924,0.802815378,8.133880615,12.68000031,NA,NA,0,NA,1,0,9.642857552,-3.5,1.030956149,NA,-342.0854492,NA,0.634000003,NA,NA,NA,NA,NA,NA,NA,NA
4,1_2002,Abakan,1,2002,1,67,7,NA,0,0.634000003,49,343,20,103.6999969,somewhat not free,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,0.301816761,0,2,25,19.39999962,0.802815378,8.390722275,12.68000031,NA,NA,0,NA,1,0,9.642857552,-3.300000191,1.22435987,0.193403721,-194.8994141,NA,0.634000003,NA,NA,NA,NA,NA,NA,NA,NA
5,1_2003,Abakan,1,2003,1,67,8,0.142110884,0,0.634000003,64,512,20,96.80000305,somewhat not free,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0.302606344,0,2,25,17.70000076,0.802815378,8.752423286,12.68000031,NA,NA,0,NA,1,0,9.642857552,-0.899999619,1.203438401,-0.020921469,684.6582031,NA,0.634000003,0.090098299,NA,NA,NA,NA,NA,NA,NA
6,1_2004,Abakan,1,2004,1,67,9,0.142110884,0,0.634000003,81,729,20,103.4000015,somewhat not free,0.040966064,0.025972484,NA,0,0.58,0,0,1,0,0,0,0,0.303978294,0,2,25,20.39999962,0.802815378,8.966228485,12.68000031,0.367720008,NA,0,NA,1,0,9.642857552,2.5,1.512916803,0.309478402,375.0537109,NA,0.634000003,0.090098299,NA,0.63532819,0.689399757,0.504758633,0.288329292,0.188302047,0.135846275
7,1_2005,Abakan,1,2005,1,67,10,0.142110884,0,0.368900001,100,1000,21,103.9000015,somewhat not free,0.040966064,0.01511238,NA,0,0.47,0,0,0,1,0,0,0,0.303900778,0,2,25,17.5,0.802815378,9.197052002,7.746900082,0.173382998,1,0,NA,1,0,7.3,-0.199999809,1.12509346,-0.387823343,181.5009766,0.368900001,0.368900001,0.052424707,NA,0.63532819,0.689399757,0.504758633,0.288329292,0.188302047,0.135846275
8,1_2006,Abakan,1,2006,1,67,11,0.142110884,0,0.368900001,121,1331,21,103.0999985,somewhat not free,0.040966064,0.01511238,NA,0,0.48,0,0,0,1,0,0,0,0.303495437,0,2,25,17.89999962,0.802815378,9.38479805,7.746900082,0.177072003,1,0,NA,1,0,7.1,-1.400000572,1.072885633,-0.052207828,-117.5175781,0.368900001,0.368900001,0.052424707,NA,0.63532819,0.689399757,0.504758633,0.288329292,0.188302047,0.135846275
9,1_2007,Abakan,1,2007,1,67,12,0.450631142,0,0.368900001,144,1728,21,102.6999969,somewhat not free,0.040966064,0.01511238,NA,0,0.44,0,0,0,0,1,0,0,0.303935409,0,2,25,26.60000038,0.802815378,9.576856613,7.746900082,0.162315995,1,0,NA,1,0,5.3,0.200000763,0.93358916,-0.139296472,-364.5732422,0.368900001,0.368900001,0.166237831,NA,0.63532819,0.689399757,0.504758633,0.288329292,0.188302047,0.135846275
10,1_2008,Abakan,1,2008,1,67,13,0.450631142,0,0.368900001,169,2197,21,103.5999985,somewhat not free,0.040966064,0.01511238,0.269230783,0,0.32,0,0,0,0,1,0,0,0.303849041,0,2,25,24.39999962,0.802815378,9.811098099,7.746900082,0.118047997,1,0,NA,1,0,6.8,-2.200000286,1.082059979,0.148470819,46.61425781,0.368900001,0.368900001,0.166237831,NA,0.603639903,0.64452575,0.472434475,0.570425402,0.60565624,0.414802537
11,1_2009,Abakan,1,2009,1,67,14,0.450631142,0,0.753400028,196,2744,21,102.8000031,somewhat not free,0.332453638,0.250470579,0.269230783,0,0.2,0,0,0,0,0,1,0,0.303780347,0,2,25,27.20000076,0.802815378,9.929739952,15.82140064,0.150680006,1,0,NA,1,0,10.3,0.400000095,1.9877491,0.90568912,814.1054688,0.753400028,0.753400028,0.339505523,NA,0.603639903,0.64452575,0.472434475,0.570425402,0.60565624,0.414802537
12,1_2010,Abakan,1,2010,1,67,15,0.450631142,0,0.753400028,225,3375,21,97.59999847,somewhat not free,0.332453638,0.250470579,0.269230783,0,0.26,0,0,0,0,0,1,0,0.307777703,0,2,25,27.20000076,0.802815378,10.04957771,15.82140064,0.195884004,1,0,NA,1,0,15.4,1.699999809,1.275563002,-0.712186098,677.2148438,0.753400028,0.753400028,0.339505523,NA,0.603639903,0.64452575,0.472434475,0.570425402,0.60565624,0.414802537
13,1_2011,Abakan,1,2011,1,67,16,0.059230115,0,0.753400028,256,4096,21,NA,somewhat not free,0.332453638,0.250470579,0.269230783,0,0.234,0,0,0,0,0,0,1,0.311104834,0,2,25,27.20000076,0.802815378,10.15124607,15.82140064,0.176295608,1,0,NA,1,0,15.3,0.100000381,1.185199022,-0.090363979,-140.03125,0.753400028,0.753400028,0.044623971,NA,0.603639903,0.64452575,0.472434475,0.570425402,0.60565624,0.414802537
14,1_2012,Abakan,1,2012,1,67,17,0.059230115,0,0.753400028,289,4913,21,NA,somewhat not free,0.332453638,0.250470579,0.269230783,0,NA,0,0,0,0,0,0,1,0.311104834,0,2,25,27.20000076,0.802815378,10.28144455,15.82140064,NA,1,0,NA,1,0,NA,NA,0.961221635,-0.223977387,-151.7851563,0.753400028,0.753400028,0.044623971,NA,0.555461002,0.670115667,0.43826932,0.347483371,0.631479725,0.614023615
